feature,coef,std_err,z,p-value,CI[0.025,0.975]
s1_postop_cath_pastent,-1.0822,1.014,-1.067,0.286,-3.07,0.905
hlhs_type_MS_AA,0.193,0.184,1.047,0.295,-0.168,0.554
s1_cpbtime_min,-0.0014,0.001,-1.038,0.299,-0.004,0.001
add_dx_arrhy,-1.0339,1.015,-1.019,0.308,-3.023,0.955
s1d_followup_Surgical_Center,-0.1527,0.152,-1.001,0.317,-0.452,0.146
s1d_calorie_den,0.0294,0.029,0.999,0.318,-0.028,0.087
anomalies_ent,0.5272,0.533,0.99,0.322,-0.517,1.571
s1_postop_cath_apcoll,1.0821,1.098,0.986,0.324,-1.07,3.234
s1comp_pthx,0.3443,0.356,0.966,0.334,-0.354,1.043
s1_otherproc_cardiov,0.4564,0.476,0.959,0.338,-0.476,1.389
s1_circarresttime_min,0.0028,0.003,0.952,0.341,-0.003,0.008
riskfactor_nec,0.4987,0.532,0.937,0.349,-0.544,1.541
s1_otherproc_pericardcent,-0.6707,0.723,-0.928,0.354,-2.088,0.746
s1_reop,0.1652,0.179,0.922,0.356,-0.186,0.516
s1sreoptyp_debrid,-0.5409,0.593,-0.912,0.362,-1.704,0.622
s1d_nut_typ,-0.0925,0.103,-0.9,0.368,-0.294,0.109
s1_postop_cath_rvpastent,0.3241,0.377,0.86,0.39,-0.414,1.063
postop_arr_aflutter,0.3399,0.402,0.845,0.398,-0.448,1.128
syndrome_charge,0.8994,1.083,0.831,0.406,-1.222,3.021
syndrome_other,0.2144,0.263,0.815,0.415,-0.302,0.73
riskfactor_mcs,0.6133,0.753,0.814,0.416,-0.863,2.09
s1_postop_cath_diag,0.1233,0.158,0.782,0.434,-0.186,0.432
riskfactor_neuro,0.46,0.612,0.752,0.452,-0.739,1.659
s1dfeedeval_vfss,-0.1367,0.183,-0.746,0.455,-0.496,0.222
postop_arr_vt,-0.3768,0.517,-0.729,0.466,-1.39,0.636
add_dx_avvr,0.2859,0.401,0.713,0.476,-0.5,1.072
preop_cath_aov,-0.7179,1.019,-0.704,0.481,-2.715,1.279
s1dtarcal,0.004,0.006,0.685,0.494,-0.008,0.016
age_at_norwood,0.0022,0.003,0.666,0.505,-0.004,0.009
acei_at_dc,0.0929,0.149,0.625,0.532,-0.198,0.384
reglan_at_dc,0.1583,0.263,0.602,0.547,-0.357,0.673
s1comp_nec,0.1583,0.263,0.602,0.547,-0.357,0.673
fetalintervention_asd,0.6111,1.063,0.575,0.565,-1.473,2.695
syndrome_jacobsen,0.6111,1.063,0.575,0.565,-1.473,2.695
anomalies_gi,-0.3296,0.596,-0.553,0.58,-1.497,0.838
Race_A,0.3252,0.608,0.535,0.593,-0.867,1.517
age_s1_admit,-0.0078,0.015,-0.519,0.604,-0.037,0.022
s1_postop_cath_padil,0.2725,0.527,0.517,0.605,-0.76,1.305
anomalies_endo,-0.5124,1.027,-0.499,0.618,-2.525,1.501
s1comp_pleuraleff,0.1205,0.256,0.471,0.638,-0.381,0.622
syndrome_down,0.493,1.057,0.467,0.641,-1.578,2.564
Norwood_Central_Shunt,0.3397,0.744,0.457,0.648,-1.118,1.797
fetal_intervention,-0.3196,0.728,-0.439,0.661,-1.747,1.108
s1sreoptyp_rvpa,0.2284,0.526,0.434,0.664,-0.802,1.259
s1comp_sepsis,-0.152,0.351,-0.433,0.665,-0.839,0.535
lansoprazole_at_dc,-0.0947,0.232,-0.408,0.684,-0.55,0.361
s1_otherproc_dialysis,-0.2065,0.519,-0.398,0.691,-1.223,0.81
postop_arr_3avb,0.2929,0.742,0.395,0.693,-1.162,1.747
s1dfeedeval_none,0.138,0.374,0.369,0.712,-0.595,0.871
furosemide_at_dc,-0.0711,0.196,-0.362,0.717,-0.456,0.314
s1d_followup_Outside_Center,-0.0773,0.216,-0.357,0.721,-0.501,0.347
length_at_discharge,-0.0068,0.023,-0.298,0.766,-0.051,0.038
clonidine_at_dc,-0.1027,0.351,-0.293,0.77,-0.791,0.586
s1_otherproc_plication,-0.148,0.52,-0.285,0.776,-1.166,0.87
s1comp_pm,0.2052,0.739,0.277,0.781,-1.244,1.655
s1_xclamptime_min,0.0005,0.002,0.213,0.831,-0.004,0.005
Norwood_Other,0.1251,0.603,0.207,0.836,-1.058,1.308
s1_postop_cath_rvpadil,-0.1464,0.731,-0.2,0.841,-1.579,1.287
wgt_at_discharge,-0.0171,0.09,-0.19,0.85,-0.194,0.16
postop_arr_svt,0.0422,0.225,0.188,0.851,-0.398,0.482
s1_otherproc_bronch,0.0699,0.373,0.187,0.852,-0.662,0.802
postop_arr_brady,-0.0865,0.467,-0.185,0.853,-1.001,0.828
fetal_diagnosis,-0.0342,0.186,-0.184,0.854,-0.398,0.33
diagnosis,-0.022,0.155,-0.142,0.887,-0.327,0.283
postop_arr_2avb,-0.1457,1.031,-0.141,0.888,-2.167,1.876
lovenox_at_dc,0.0271,0.243,0.112,0.911,-0.45,0.504
anomalies_msk,0.0497,0.735,0.068,0.946,-1.392,1.491
s1comp_diaph,-0.0203,0.428,-0.048,0.962,-0.859,0.818
s1_postop_cath_coarc_stent,0.0495,1.038,0.048,0.962,-1.984,2.083
riskfactor_sepsis,0.0261,0.601,0.043,0.965,-1.153,1.205
s1_otherproc_gtube,-0.0066,0.173,-0.038,0.969,-0.345,0.332
s1sreoptyp_bts,0.0143,0.735,0.019,0.984,-1.426,1.454
add_dx_restrictiveseptum,-0.0041,0.207,-0.02,0.984,-0.41,0.401
fetalintervention_aov,-18.2576,8083.83,-0.002,0.998,-15900,15800
s1sreoptyp_asd,-17.1495,7667.742,-0.002,0.998,-15000,15000
add_dx_ventdysfxn,-21.0592,17600,-0.001,0.999,-34500,34500
postop_arr_car,-19.8097,22100,-0.001,0.999,-43400,43300
fetalintervention_other,-309.4161,4.19E+67,-7.39E-66,1,-8.21E+67,8.21E+67
syndrome_digeorge,-24.4574,236000,0,1,-463000,463000
riskfactor_seizure,-23.7465,99900,0,1,-196000,196000
riskfactor_trach,-74.4524,5.63E+16,-1.32E-15,1,-1.10E+17,1.10E+17
preop_cath_coarc,-74.4524,5.63E+16,-1.32E-15,1,-1.10E+17,1.10E+17
s1_postop_cath_aov,-74.4524,5.63E+16,-1.32E-15,1,-1.10E+17,1.10E+17
s1_postop_cath_asdstent,-74.4524,5.63E+16,-1.32E-15,1,-1.10E+17,1.10E+17
warfarin_at_dc,-74.4524,5.63E+16,-1.32E-15,1,-1.10E+17,1.10E+17
fetalintervention_pm,NA,NA,NA,NA,NA,NA
preop_cath_coarc_stent,NA,NA,NA,NA,NA,NA
